83,84,86,86,82,79,83,85,77,73,70,62,68,63,68,74,79,74,74,75,74,74,76,75
81,85,84,85,89,85,85,87,92,92,93,92,96,94,88,88,89,92,85,96,92,92,93,85
85,93,92,96,92,92,78,75,69,67,64,65,60,61,64,75,76,84,84,85,85,85,85,85
73,83,78,85,90,92,92,92,79,77,77,70,65,64,65,65,64,64,70,70,70,72,68,70
70,76,75,75,76,69,69,75,75,64,64,57,57,56,61,69,80,85,92,87,80,85,86,89
89,89,88,91,88,81,75,77,75,75,69,68,54,56,58,63,66,70,75,70,64,64,59,61
64,66,71,71,75,74,74,76,71,71,68,62,62,62,62,67,68,68,74,75,80,84,81,77
72,76,77,72,74,69,74,75,74,74,75,69,74,68,68,71,71,78,78,74,78,75,73,72
72,76,78,81,78,81,88,86,88,79,73,76,79,77,76,88,85,88,82,73,76,77,75,73
73,74,76,79,81,88,95,87,87,93,94,100,99,89,82,82,83,85,91,93,88,91,92,92
89,92,92,91,86,82,86,88,86,79,80,79,57,75,92,90,89,61,61,64,70,67,75,75
70,71,70,73,79,73,73,74,73,76,66,65,64,61,67,65,69,76,84,89,82,84,89,82
85,85,82,85,84,82,95,89,88,78,75,69,64,68,57,67,73,88,88,91,85,83,87,92
92,93,96,92,93,88,88,89,88,79,82,70,70,67,63,63,74,82,86,89,89,89,82,80
89,83,85,89,90,86,80,81,80,71,64,55,47,44,41,47,54,76,81,79,76,79,77,76
74,78,85,79,80,80,79,86,85,82,76,66,63,62,58,66,73,79,76,83,78,75,74,77
80,76,74,75,78,74,72,73,77,71,71,65,68,67,70,70,76,76,76,77,71,72,74,73
79,84,87,87,87,87,94,93,94,93,93,96,95,96,96,96,96,100,94,94,94,96,96,96
100,96,94,96,100,100,100,99,100,100,100,94,94,99,100,94,94,94,93,100,100,96,97,96
94,97,96,96,97,100,100,94,94,94,94,94,93,94,93,93,93,93,93,94,94,96,94,94
96,94,94,96,96,93,94,95,100,94,100,94,94,94,100,100,99,94,93,94,94,96,97,96
96,97,96,96,97,94,100,99,94,94,94,100,96,91,93,93,93,93,93,94,100,100,96,96
96,94,96,96,100,96,100,94,93,94,94,93,93,95,93,94,94,94,100,100,100,96,96,96
96,94,94,90,93,92,92,93,93,93,93,92,92,93,93,87,89,87,93,93,93,93,94,96
96,96,93,93,93,92,93,93,93,86,94,93,93,93,93,93,93,93,99,93,93,96,93,90
90,93,90,93,93,92,93,93,92,86,79,83,77,71,71,65,76,83,85,86,86,89,90,90
92,91,90,92,93,93,86,88,93,86,87,85,79,80,91,91,85,85,92,91,92,92,87,86
89,89,88,88,92,86,92,93,92,86,86,91,78,74,71,70,78,85,86,93,86,89,93,93
93,97,93,96,93,93,86,88,86,86,87,86,80,81,80,80,85,86,86,87,81,81,84,86
89,90,86,86,87,83,83,84,77,82,78,72,69,69,68,69,73,80,74,77,73,75,89,94
93,93,90,86,87,85,79,87,86,80,83,71,70,64,60,55,68,76,79,86,81,86,90,93
93,93,86,83,89,96,96,95,89,88,85,76,70,72,72,71,78,85,86,92,92,96,92,92
92,93,93,93,93,92,93,93,93,100,93,86,83,84,81,76,70,79,78,80,85,85,90,89
92,93,89,89,93,92,92,99,92,79,73,66,58,51,55,69,74,81,82,85,80,80,81,79
85,84,85,83,84,86,79,81,80,71,73,66,89,87,91,92,93,92,92,93,93,92,93,96
93,96,92,96,96,92,92,88,86,85,86,82,81,87,81,82,82,82,82,84,88,82,81,78
